id,time,avg_calories,avg_steps
1503960366,00:00:00,60.96666666666667,142.66666666666666
1503960366,01:00:00,53.86666666666667,50.1
1503960366,02:00:00,50.266666666666666,29
1503960366,03:00:00,48.63333333333333,11.833333333333334
1503960366,04:00:00,47.7,3.6
1503960366,05:00:00,47.56666666666667,2.1
1503960366,06:00:00,48.9,15.5
1503960366,07:00:00,51.233333333333334,39.2
1503960366,08:00:00,62.53333333333333,188.03333333333333
1503960366,09:00:00,105.83333333333333,1085.3333333333333
1503960366,10:00:00,80.6,451.2
1503960366,11:00:00,79.7,474.96666666666664
1503960366,12:00:00,83.5,553.2666666666667
1503960366,13:00:00,89.13333333333334,696
1503960366,14:00:00,90.53333333333333,720.1
1503960366,15:00:00,78.2,456.76666666666665
1503960366,16:00:00,84.8,579.1
1503960366,17:00:00,90.3,697.4333333333333
1503960366,18:00:00,128.46666666666667,1556.1
1503960366,19:00:00,104.96666666666667,971.7
1503960366,20:00:00,105.73333333333333,1089.2666666666667
1503960366,21:00:00,117.17241379310344,1334
1503960366,22:00:00,87.03448275862068,682.7586206896551
1503960366,23:00:00,88.34482758620689,746.9655172413793
1624580081,00:00:00,56.86666666666667,83.93333333333334
1624580081,01:00:00,52.46666666666667,12.266666666666667
1624580081,02:00:00,53.3,34.86666666666667
1624580081,03:00:00,50.63333333333333,9
1624580081,04:00:00,51.4,6.9
1624580081,05:00:00,53.166666666666664,61.8
1624580081,06:00:00,56.3,113.96666666666667
1624580081,07:00:00,61.96666666666667,288.7
1624580081,08:00:00,66.4,506.1666666666667
1624580081,09:00:00,71.36666666666666,665.8666666666667
1624580081,10:00:00,70.86666666666666,678.2666666666667
1624580081,11:00:00,67.53333333333333,266.06666666666666
1624580081,12:00:00,65.2,184.76666666666668
1624580081,13:00:00,69.73333333333333,389.03333333333336
1624580081,14:00:00,67,303.6666666666667
1624580081,15:00:00,58.2,147.13333333333333
1624580081,16:00:00,63.6,256.96666666666664
1624580081,17:00:00,67.33333333333333,289
1624580081,18:00:00,72.76666666666667,350.6333333333333
1624580081,19:00:00,75.76666666666667,436.3666666666667
1624580081,20:00:00,63.2,207.7
1624580081,21:00:00,64,222.7
1624580081,22:00:00,63.3,223.63333333333333
1624580081,23:00:00,58.333333333333336,94.3
1644430081,00:00:00,94.46666666666667,79.5
1644430081,01:00:00,89.93333333333334,37.93333333333333
1644430081,02:00:00,90.33333333333333,42.733333333333334
1644430081,03:00:00,86.96666666666667,7.9
1644430081,04:00:00,85.2,2.466666666666667
1644430081,05:00:00,85,0.5
1644430081,06:00:00,84.93333333333334,0.4666666666666667
1644430081,07:00:00,93.53333333333333,81.83333333333333
1644430081,08:00:00,119.06666666666666,315.06666666666666
1644430081,09:00:00,109.96666666666667,159.76666666666668
1644430081,10:00:00,110.2,157.36666666666667
1644430081,11:00:00,119.13333333333334,259.6666666666667
1644430081,12:00:00,130.0344827586207,364.0689655172414
1644430081,13:00:00,139.93103448275863,473.17241379310343
1644430081,14:00:00,136.20689655172413,453.6896551724138
1644430081,15:00:00,121.10344827586206,263.37931034482756
1644430081,16:00:00,126.13793103448276,327
1644430081,17:00:00,134.17241379310346,428.0689655172414
1644430081,18:00:00,159.6206896551724,736.0689655172414
1644430081,19:00:00,195.44827586206895,1199.6896551724137
1644430081,20:00:00,159.68965517241378,724.1034482758621
1644430081,21:00:00,157.41379310344828,765.3103448275862
1644430081,22:00:00,135.31034482758622,496
1644430081,23:00:00,96.75862068965517,99.48275862068965
1844505072,00:00:00,62.733333333333334,73.6
1844505072,01:00:00,58.666666666666664,27.533333333333335
1844505072,02:00:00,58.03333333333333,25.766666666666666
1844505072,03:00:00,56.166666666666664,1.7333333333333334
1844505072,04:00:00,56,0
1844505072,05:00:00,56,0
1844505072,06:00:00,56.53333333333333,3.7666666666666666
1844505072,07:00:00,56.56666666666667,4.066666666666666
1844505072,08:00:00,60.5,49.1
1844505072,09:00:00,64.43333333333334,86.9
1844505072,10:00:00,75.4,218.03333333333333
1844505072,11:00:00,80.93333333333334,263.1333333333333
1844505072,12:00:00,74.36666666666666,184.4
1844505072,13:00:00,71.16666666666667,152.8
1844505072,14:00:00,74.53333333333333,196
1844505072,15:00:00,73.8,177.33333333333334
1844505072,16:00:00,72.03333333333333,177
1844505072,17:00:00,71.33333333333333,162.56666666666666
1844505072,18:00:00,68,107.1
1844505072,19:00:00,73.43333333333334,175.76666666666668
1844505072,20:00:00,73.6,190.9
1844505072,21:00:00,71,139.53333333333333
1844505072,22:00:00,71.26666666666667,158.46666666666667
1844505072,23:00:00,65.66666666666667,89.23333333333333
1927972279,00:00:00,86.26666666666667,0.6666666666666666
1927972279,01:00:00,86.26666666666667,0.7666666666666667
1927972279,02:00:00,86.2,0.5666666666666667
1927972279,03:00:00,86.2,0.7333333333333333
1927972279,04:00:00,86.73333333333333,3.6666666666666665
1927972279,05:00:00,86,0
1927972279,06:00:00,86.2,0.9333333333333333
1927972279,07:00:00,85.96666666666667,0
1927972279,08:00:00,95.13333333333334,89.2
1927972279,09:00:00,90.2,25.066666666666666
1927972279,10:00:00,99.9,119.06666666666666
1927972279,11:00:00,104,147.7
1927972279,12:00:00,93.33333333333333,43.733333333333334
1927972279,13:00:00,98.13333333333334,104.93333333333334
1927972279,14:00:00,90.33333333333333,30.533333333333335
1927972279,15:00:00,93.16666666666667,49.666666666666664
1927972279,16:00:00,96.76666666666667,70.9
1927972279,17:00:00,96.7,58.63333333333333
1927972279,18:00:00,96.53333333333333,61.43333333333333
1927972279,19:00:00,99.23333333333333,90.33333333333333
